question,choice_a,choice_b,choice_c,choice_d,answer,model,model_answer,label
"An incandescent bulb's filament produces similar light as an LED bulb, but more",white light,conversion,heat,sound,C,davinci, efficiently,0
"A boy at school is waiting desperately for the school day to be over so that he can go home and play video games. He watches the time count down on the clock at the head of the class, counting the",seconds,days,weeks,years,A,davinci, minutes until he can go home,1
Camouflage can be used by animals for hunting,water,trees,air,meals,D,davinci, A: or by soldiers for hiding,1
"Carbohydrates are made of sugar, which means that a diabetic would need to exhibit care in consuming",broccoli,meat,celery,toast,D,davinci, them,1
Hand dryers can also be used to,keep cold drinks cool,dry out clothes after coming in from the rain,hydrate your face and hands,make a damp rag damper,B,davinci, dry hands A: they are also used to dry hands,1
Polar bears require,a tropical environment,a frigid environment,a tepid environment,a warm environment,B,davinci, a lot of food to survive A: they are fat,1
A measurement of time that is less than a minute is a,day,minute,hour,second,D,davinci,: A: microsecond,1
What will be more available in an area when rainfall increases?,fire,air,dirt,H2O,D,davinci, A: water,1
When does the first quarter phase of the moon occur?,when you cannot see the moon in the sky at night,after the first phase of the lunar month,after a blue moon,during the full moon,B,davinci, A: when the moon is a quarter of the way around the earth,1
An ice cube placed in sunlight will,shrink,change color,grow,freeze,A,davinci, melt,1
"If a person loses his job and is low on money, he will have to start cutting back on how much food he consumes or he'd run out, otherwise known as",destroying,conserving,losing,squandering,B,davinci," ""starving""",0
The skeletal system protects which of these?,liver,eyelashes,finger nails,blood vessels,A,davinci, A: the brain,1
What has more gravity force than Earth but less than the sun?,Jupiter,the moon,a space station,a comet,A,davinci, A: a neutron,0
The dam was put under much more stress after the,party,huge rain storm,drought,breakup.,B,davinci, flood,1
If photosynthesis was a recipe it would require these ingredients,"CO2, water, and argon","sunlight, oxygen, and fertilizer","CO2, H20, and cloudy skies","CO2, H20, and sun rays",D,davinci,": A: Sunlight, water, carbon dioxide, and chlorophyll",1
"If a nail is Fe, that nail is",foreign,atomic 26,nickel,atomic 12,B,davinci, Fe,1
when a circle is torn it is,doubled,changed,a smaller circle,a square,B,davinci, no longer a circle A: it is a line,1
Wind can cause,leaves to remain on branches,trees to stand perfectly still,dunes at the beach to be depleted,still waters on the ocean,C,davinci, a fire to spread A: it can blow embers,1
What happens as water levels rise?,fish swim more,homes are built,land is taller,beaches shrink,D,davinci, A: The water table rises,1
An increase in an object's temperature occurs when,an orange is placed in a refrigerator,a steak is removed from the freezer to defrost,a glass of water is moved from counter top to dinner table,an ice tray is placed in a freezer,B,davinci, A: the object is being heated,1
A sousaphone,is ancient,is a frog,makes deep noises,is a smartphone,C,davinci, is a musical instrument A: that is used to play the tuba,1
A cooked lobster is,inedible,cold,dead,green,C,davinci, a dead lobster,1
An animal might pant,on a sunny day,during a rain storm,when it is snowing,during the night time,A,davinci, to cool itself down A: but it's not a good idea to do so,0
Carnivores,eat foliage and vegetables exclusively,are the bottom of the food chain,require prey to survive,require carbon dioxide to survive,C,davinci, are A: meat eaters,1
The light that appears dimmest is,the light in the hall,a light in the room,a star outside the window,a streetlight outside the window,C,davinci, A: the light of the sun,0
A plant will grow strong if it has,love,heat,earth,sand,C,davinci, a strong root system,1
loose soil can be caused by one of these,a koala sitting on a tree,none of these,a worm burrowing through the earth,a bird flying through the air,C,davinci, A: a landslide,0
An instinctual behavior is,dogs rolling over on command,frogs returning to the ponds were they hatched to lay eggs,birds mimicking human speech,seals clapping for treats from trainers,B,davinci, one that is A: innate,1
How do plants reproduce?,seeds,stem,flowers,leaves,A,davinci, A: They make seeds,1
What produce pollen and seeds?,lakes that are frozen over,things you give a loved one in a bouquet,various types of animals,a person that is healthy,B,davinci, A: plants,1
which of these would be most ideal for plant root growth?,a sticky clay soil,soil with worms burrowing around,an arid soil with little looseness,all of these,B,davinci, A: a,0
Having a sense of touch means,I am the water,I am a tree,I am an Ant,I am the Air,C,davinci, you have a sense of A: touch,1
Live birth is exemplified in,snakes slithering out of eggs,a calf emerging from a mother giraffe,owlets pecking out of their encasement,sea turtles emerging from their shells,B,davinci, the human species A: the mother is the host,1
Cooking peas requires,fresh briny sea water,an unheated stove top,salt and cayenne pepper,turning on a stove top,D,davinci, a lot of water A: it's a lot of water,0
Earth revolves around,the moon,outer space,another planet,an energy source,D,davinci, the sun A: the sun revolves around the earth,0
A satellite orbits a,empty space,ocean,terrestrial body,air pocket,C,davinci, planet A: the planet is the center of the universe,0
Will happen to the number of islands if the planet's temperature rises?,they will increase,nothing will happen,they will shrink,they will double,C,davinci, A: They will be submerged,1
There is a heightened threat of landslide in,the desert,The Andes,the ocean,Indiana,B,davinci, the area A: the ground is unstable,1
An example of water being an electrical conductor would be what?,lightening hitting water and organisms inside dying,standing in a puddle and avoiding being struck by lightening,standing in a field and getting struck by lightening,grabbing a fence and being shocked,A,davinci, A: a lightning bolt,1
What would Occur once between January 1st and December 31st,The moons orbit around the year,One rotation on mercury,The distance between earth and Jupiter when traveling at light speed,A Solar Year on earth,D,davinci,? A: A leap year,0
Burning something that reproduces usually will:,impair its well being in some way,weed out weaker members of the species,speed up its biological functions,increase its population growth,A,davinci, A: reduce the population,1
what does a chipmunk do with acorns,throw them at other chipmunks,leave them where they're found,use them to build shelter,transfer them to the stomach,D,davinci,? A: He puts them in his cheeks,1
"A pot of pasta is boiling on the stove, and the lid on top of the pot is shaking as the water boils more rapidly. A person goes to the stove and removes the pot, releasing steam into the air above, and so the steam is",cold air,water vapor,very dry,boiling water,B,davinci, no longer in contact with the lid,0
A plant that gets extra minerals such as zinc are probably,planted in zinc pills,plated in the sea,placed in good soil,made out of soil,C,davinci, A: zinc-rich,1
Which item has a higher altitude?,Tile Floor,Cars,A 6'' Man,A Picture Book,C,davinci, A: a mountain,1
"if a student wants an orange, he would have to get it from which of these?",from a live cow,from a live plant,from a volcano cave,from a wild dog,B,davinci, A: the orange tree,1
What could have covered an organism in order to create a trilobite?,Grass,Water,Snow,Sand,D,davinci, A: a rock,0
A dog is more likely to shiver at,1:00 PM,5:00 AM,9:00 AM,6:00 PM,B,davinci, night A: because it's cold,1
"Photosynthesis does what by converting carbon dioxide, water, and sunlight into carbohydrates?",nourishes small protein bits that need to eat with tiny shakes,providing nourishment which enables some growth to vegetation,mixes carbs into soluble plant matter,makes good vegetable protein,B,davinci, A: It reduces carbon dioxide,1
where might a bunny live?,a thicket,atop palm trees,a sewer system,a deserted island,A,davinci, A: in a hutch,1
"A shark will be unable to survive on eating algae and moss, because",it is a predator,it is a vegetarian,it is a freshwater fish,it is a producer,A,davinci, A: it is not a carnivore,0
"A meadow vole just gave birth, and needs to feed herself so that she can produce milk for her babies. She searches for food in a field, and happily munches down on some",oil,deer,bugs,recycled plastic fruit,C,davinci, grass,1
The Grand Canyon was formed by,a volcano erupting in 1782,a river named after the 20th state to join the union flowing over time,a river named after the 38th state to join the union flowing over time,the Great Lakes drying up,C,davinci, A: erosion,1
"A woman, with a pale complexion, wants to spend the bright, sunny day at the beach. She makes sure that she stops at the store to pick up some sunblock before she begins to enjoy her day filled with sand and surf. She applies the sunblock carefully and thoroughly, because she knows that",UV rays are harmful,sunlight will be fun,the sun is close,the sun is in space,A,davinci, she will be out in the sun for a long time,1
A person is heating water in order to cook pasta. He spills the pot of water on his leg and finds that the water,scalds,cools,toasts,freezes,A,davinci, is hot,1
Pasta may be cooked in water when,the water is warm,the water is on the stove,water is bubbling from applied warmth,the pasta is very fresh,C,davinci, A: it is being boiled,1
A decrease in diseases,has no impact on a population,leads to more sick people,leads to less sick people,leads to an uptick in emergency room visits,C,davinci, A: is a decrease in the number of sick people,1
"When soil is viewed in a scientific way, what is seen and viewed is actually",insects like big beetles,tiny lifeforms in dirt,small mammals living there,a lot of tiny pebbles,B,davinci, a living organism,1
Some animals use a liquid coming from their skin to adjust to,cold,water,heat,humidity,C,davinci, the temperature of their environment,1
